Athlete,Week,Day of the Week,Category,Exercise,Reps,Sets,Set,Set_Reps,Set_Weight,Variant,Notes,Unnamed: 0,Athlete comments
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,1,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,1,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,1,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,1,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,1,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,1,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,2,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,2,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,2,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,2,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,2,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,2,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,3,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,3,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,3,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,3,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,3,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,3,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,4,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,4,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,4,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,4,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,4,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,4,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,5,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,5,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,5,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,5,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,5,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,5,,,,,,
